系統ｺｰﾄﾞ,路線ｺｰﾄﾞ,方向ｺｰﾄﾞ,系統記号,起点,終点,経由等
0001,00,1,基幹１,栄,星崎,
0001,00,2,基幹１,星崎,栄,
0001,01,1,基幹１,栄,鳴尾車庫,
0001,01,2,基幹１,鳴尾車庫,栄,
0001,02,1,基幹１,栄,笠寺駅,
0001,02,2,基幹１,笠寺駅,栄,
0002,00,1,基幹２,栄,引山,
0002,00,2,基幹２,引山,栄,
0002,01,1,基幹２,名古屋駅,猪高車庫,
0002,01,2,基幹２,猪高車庫,名古屋駅,
0002,02,1,基幹２,栄,四軒家,
0002,02,2,基幹２,四軒家,栄,
6101,00,1,Ｃ－７５８,名古屋駅,名古屋駅,
6201,00,1,深夜１,栄,藤が丘,
6201,00,2,深夜１,藤が丘,栄,
6202,00,1,深夜２,栄,地下鉄高畑,
6202,00,2,深夜２,地下鉄高畑,栄,
0101,00,1,幹名駅１,名古屋駅,上飯田,
0101,00,2,幹名駅１,上飯田,名古屋駅,
0101,01,1,幹名駅１,名古屋駅,大曽根,
0101,01,2,幹名駅１,大曽根,名古屋駅,
0102,00,1,幹名駅２,名古屋駅,東海橋,
0102,00,2,幹名駅２,東海橋,名古屋駅,
0102,01,1,幹名駅２,名古屋駅,野跡駅,
0102,01,2,幹名駅２,野跡駅,名古屋駅,
1011,00,2,名駅１１,名古屋駅,名古屋駅,左回り
1011,01,2,名駅１１,康生通四丁目,名古屋駅,
1012,00,1,名駅１２,名古屋駅,如意車庫前,大野木五丁目経由
1012,00,2,名駅１２,如意車庫前,名古屋駅,大野木五丁目経由
1012,01,1,名駅１２,名古屋駅,如意車庫前,月縄手経由
1012,01,2,名駅１２,如意車庫前,名古屋駅,月縄手経由
1013,00,1,名駅１３,名古屋駅,上飯田,
1013,00,2,名駅１３,上飯田,名古屋駅,
1013,01,1,名駅１３,名古屋駅,中切町,
1013,01,2,名駅１３,中切町,名古屋駅,
1013,02,1,名駅１３,名古屋駅,天神山,
1013,02,2,名駅１３,天神山,名古屋駅,
1014,00,1,名駅１４,名古屋駅,大曽根,
1014,00,2,名駅１４,大曽根,名古屋駅,
1014,01,1,名駅１４,名古屋駅,市役所,
1014,01,2,名駅１４,市役所,名古屋駅,
1015,00,1,名駅１５,名古屋駅,黒川,
1015,00,2,名駅１５,黒川,名古屋駅,
1015,01,1,名駅１５,名古屋駅,浄心町,
1015,01,2,名駅１５,浄心町,名古屋駅,
1015,02,1,名駅１５,名古屋駅,茶屋ケ坂,
1015,02,2,名駅１５,茶屋ケ坂,名古屋駅,
1015,03,1,名駅１５,名古屋駅,西部医療センター,
1015,03,2,名駅１５,西部医療センター,名古屋駅,
1015,04,2,名駅１５,茶屋ケ坂,黒川,
1016,00,2,名駅１６,名古屋駅,名古屋駅,左回り
1016,01,1,名駅１６,名古屋駅,広小路本町,
1017,00,1,名駅１７,名古屋駅,名古屋大学,
1017,00,2,名駅１７,名古屋大学,名古屋駅,
1018,00,1,名駅１８,名古屋駅,名鉄神宮前,
1018,00,2,名駅１８,名鉄神宮前,名古屋駅,
1019,00,1,名駅１９,名古屋駅,港区役所,
1019,00,2,名駅１９,港区役所,名古屋駅,
1020,00,1,名駅２０,名古屋駅,権野,
1020,00,2,名駅２０,権野,名古屋駅,
1020,01,1,名駅２０,名古屋駅,中川車庫前,五月通経由
1020,01,2,名駅２０,中川車庫前,名古屋駅,五月通経由
1020,02,1,名駅２０,名古屋駅,中川車庫前,露橋ｽﾎﾟｰﾂｾﾝﾀｰ経由
1020,02,2,名駅２０,中川車庫前,名古屋駅,露橋ｽﾎﾟｰﾂｾﾝﾀｰ経由
1021,00,1,名駅２１,名古屋駅,稲西車庫,
1021,00,2,名駅２１,稲西車庫,名古屋駅,
1022,00,1,名駅２２,名古屋駅,横井町,
1022,00,2,名駅２２,横井町,名古屋駅,
1023,00,1,名駅２３,名古屋駅,横井町,地下鉄岩塚経由
1023,00,2,名駅２３,横井町,名古屋駅,地下鉄岩塚経由
1023,01,1,名駅２３,名古屋駅,岩塚本通四丁目,
1023,01,2,名駅２３,岩塚本通四丁目,名古屋駅,
1024,00,1,名駅２４,名古屋駅,大治西条,
1024,00,2,名駅２４,大治西条,名古屋駅,
1025,00,1,名駅２５,名古屋駅,名古屋駅,右回り
1025,00,2,名駅２５,名古屋駅,名古屋駅,左回り
1025,02,1,名駅２５,豊公橋,名古屋駅,本陣経由 右回り
1025,03,2,名駅２５,豊公橋,名古屋駅,中島町経由 左回り
1025,04,1,名駅２５,名古屋駅,本陣,大秋町経由
1025,04,2,名駅２５,本陣,名古屋駅,大秋町経由
1026,00,1,名駅２６,名古屋駅,平田住宅,
1026,00,2,名駅２６,平田住宅,名古屋駅,
1029,00,1,名駅２９,名古屋駅,名古屋駅,右回り
1029,00,2,名駅２９,名古屋駅,名古屋駅,左回り
1029,01,2,名駅２９,枇杷島スポーツセンター,名古屋駅,
0111,00,1,幹栄１,栄,如意住宅,
0111,00,2,幹栄１,如意住宅,栄,
0111,01,1,幹栄１,栄,水分橋,
0111,01,2,幹栄１,水分橋,栄,
0111,02,1,幹栄１,黒川,如意住宅,
0111,02,2,幹栄１,如意住宅,黒川,
0111,03,1,幹栄１,黒川,水分橋,
0111,03,2,幹栄１,水分橋,黒川,
0111,04,2,幹栄１,味鋺小学校北,栄,
0111,06,1,幹栄１,西部医療センター,如意住宅,
0111,06,2,幹栄１,如意住宅,西部医療センター,
0111,07,1,幹栄１,西部医療センター,水分橋,
0111,07,2,幹栄１,水分橋,西部医療センター,
0112,00,1,幹栄２,栄,新大正橋西,
0112,00,2,幹栄２,新大正橋西,栄,
0112,01,2,幹栄２,稲葉地町,栄,
1111,00,1,栄１１,栄,如意車庫前,
1111,00,2,栄１１,如意車庫前,栄,
1111,01,1,栄１１,栄,平田住宅,
1111,01,2,栄１１,平田住宅,栄,
1111,02,2,栄１１,中丸町,栄,
1111,05,1,栄１１,栄,如意車庫前,西部医療ｾﾝﾀｰ経由
1111,05,2,栄１１,如意車庫前,栄,西部医療ｾﾝﾀｰ経由
1111,06,1,栄１１,栄,平田住宅,西部医療ｾﾝﾀｰ経由
1111,06,2,栄１１,平田住宅,栄,西部医療ｾﾝﾀｰ経由
1111,07,1,栄１１,栄,如意住宅,西部医療ｾﾝﾀｰ経由
1111,07,2,栄１１,如意住宅,栄,西部医療ｾﾝﾀｰ経由
1112,00,1,栄１２,栄,安井町西,赤塚経由
1112,00,2,栄１２,安井町西,栄,赤塚経由
1113,00,1,栄１３,栄,安井町西,名古屋城正門前経由
1113,00,2,栄１３,安井町西,栄,名古屋城正門前経由
1113,01,2,栄１３,川中,栄,
1114,00,1,栄１４,栄,上飯田,
1114,00,2,栄１４,上飯田,栄,
1115,00,1,栄１５,栄,新守山駅,
1115,00,2,栄１５,新守山駅,栄,
1115,01,1,栄１５,大曽根,新守山駅,
1115,01,2,栄１５,新守山駅,大曽根,
1116,00,1,栄１６,栄,名古屋大学,古井ノ坂経由
1116,00,2,栄１６,名古屋大学,栄,古井ノ坂経由
1117,00,1,栄１７,栄,名古屋大学,吹上経由
1117,00,2,栄１７,名古屋大学,栄,吹上経由
1118,00,1,栄１８,栄,妙見町,
1118,00,2,栄１８,妙見町,栄,
1120,00,1,栄２０,栄,瑞穂運動場東,
1120,00,2,栄２０,瑞穂運動場東,栄,
1120,01,1,栄２０,栄,新瑞橋,
1120,01,2,栄２０,新瑞橋,栄,
1121,00,1,栄２１,栄,泉楽通四丁目,
1121,00,2,栄２１,泉楽通四丁目,栄,
1122,00,1,栄２２,栄,港区役所,
1122,00,2,栄２２,港区役所,栄,
1123,00,1,栄２３,栄,中川車庫前,
1123,00,2,栄２３,中川車庫前,栄,
1123,01,1,栄２３,栄,中川車庫前,地下鉄高畑経由
1123,01,2,栄２３,中川車庫前,栄,地下鉄高畑経由
1124,00,1,栄２４,栄,稲西車庫,
1124,00,2,栄２４,稲西車庫,栄,
1125,00,1,栄２５,栄,名塚中学,
1125,00,2,栄２５,名塚中学,栄,
1125,01,1,栄２５,栄,名西橋,
1125,01,2,栄２５,名西橋,栄,
1125,02,2,栄２５,浄心町,栄,市役所経由
1126,00,1,栄２６,栄,博物館,
1126,00,2,栄２６,博物館,栄,
1127,00,1,栄２７,栄,栄,右回り
1127,00,2,栄２７,栄,栄,左回り
1127,01,1,栄２７,栄,浄心町,名西橋経由 右回り
1127,01,2,栄２７,浄心町,栄,名西橋経由 左回り
1211,00,1,金山１１,金山,池下,
1211,00,2,金山１１,池下,金山,
1211,01,1,金山１１,桜山,池下,
1211,01,2,金山１１,池下,桜山,
1212,00,1,金山１２,金山,妙見町,
1212,00,2,金山１２,妙見町,金山,
1212,01,2,金山１２,金山,金山,
1212,02,1,金山１２,市立大学病院,妙見町,桜山経由 左回り
1212,02,2,金山１２,妙見町,市立大学病院,
1214,00,1,金山１４,金山,瑞穂運動場東,桜山経由
1214,00,2,金山１４,瑞穂運動場東,金山,桜山経由
1214,01,1,金山１４,金山,瑞穂運動場東,豆田町経由
1214,01,2,金山１４,瑞穂運動場東,金山,豆田町経由
1215,00,1,金山１５,金山,瑞穂運動場東,牛巻経由
1215,00,2,金山１５,瑞穂運動場東,金山,牛巻経由
1216,00,1,金山１６,金山,瑞穂運動場東,
1216,00,2,金山１６,瑞穂運動場東,金山,
1218,00,1,金山１８,金山,要町,
1218,00,2,金山１８,要町,金山,
1218,01,1,金山１８,名鉄堀田,要町,
1218,01,2,金山１８,要町,名鉄堀田,
1219,00,1,金山１９,神宮東門,潮見町南,
1219,00,2,金山１９,潮見町南,神宮東門,
1219,01,1,金山１９,金山,ワイルドフラワーガーデン,
1219,01,2,金山１９,ワイルドフラワーガーデン,金山,
1219,02,1,金山１９,神宮東門,ワイルドフラワーガーデン,
1219,02,2,金山１９,ワイルドフラワーガーデン,神宮東門,
1219,03,1,金山１９,中京病院,ワイルドフラワーガーデン,
1219,05,1,金山１９,金山,泉楽通四丁目,
1219,05,2,金山１９,泉楽通四丁目,金山,
1220,00,1,金山２０,金山,権野,
1220,00,2,金山２０,権野,金山,
1221,00,1,金山２１,金山,中川車庫前,
1221,00,2,金山２１,中川車庫前,金山,
1221,01,1,金山２１,金山,地下鉄高畑,
1221,01,2,金山２１,地下鉄高畑,金山,
1222,00,1,金山２２,金山,戸田,
1222,00,2,金山２２,戸田,金山,
1222,01,1,金山２２,金山,中川車庫前,
1222,01,2,金山２２,中川車庫前,金山,
1222,02,1,金山２２,金山,地下鉄高畑,
1222,02,2,金山２２,地下鉄高畑,金山,
1222,03,1,金山２２,地下鉄高畑,戸田,春田駅経由
1222,03,2,金山２２,戸田,地下鉄高畑,八王子町経由
1222,04,1,金山２２,地下鉄高畑,戸田,中川青和高校経由
1222,04,2,金山２２,戸田,地下鉄高畑,中川青和高校経由
1222,06,1,金山２２,地下鉄高畑,中川車庫前,
1222,06,2,金山２２,中川車庫前,地下鉄高畑,
1222,07,1,金山２２,地下鉄高畑,地下鉄高畑,右回り
1222,07,2,金山２２,地下鉄高畑,地下鉄高畑,左回り
1223,00,1,金山２３,金山,戸田荘,
1223,00,2,金山２３,戸田荘,金山,
1223,01,1,金山２３,金山,岩塚本通四丁目,
1223,01,2,金山２３,岩塚本通四丁目,金山,
1223,02,2,金山２３,戸田荘,地下鉄岩塚,
1225,00,1,金山２５,金山,野跡駅,
1225,00,2,金山２５,野跡駅,金山,
1225,01,1,金山２５,金山,港区役所,
1225,01,2,金山２５,港区役所,金山,
1226,00,1,金山２６,金山,金山,右回り
1226,00,2,金山２６,金山,金山,左回り
1226,01,1,金山２６,御器所通,金山,
0131,00,1,幹藤丘１,藤が丘,本地住宅,
0131,00,2,幹藤丘１,本地住宅,藤が丘,
1311,00,1,藤丘１１,藤が丘,名鉄印場,
