停留所名称,停留所かな,停留所+乗降場所ｺｰﾄﾞ,停留所ｺｰﾄﾞ,乗降場所ｺｰﾄﾞ,乗降場所補足情報,緯度,経度
相川一丁目,あいかわいっちょうめ,01000301,01000,301,1番,35.103004,136.969528
相川一丁目,あいかわいっちょうめ,01000701,01000,701,2番,35.102835,136.969047
相生山住宅,あいおいやまじゅうたく,01005101,01005,101,2番,35.104661,136.974332
相生山住宅,あいおいやまじゅうたく,01005501,01005,501,1番,35.103314,136.974215
相生山住宅,あいおいやまじゅうたく,01005901,01005,901,降車,35.103543,136.974450
相生山住宅南,あいおいやまじゅうたくみなみ,01006301,01006,301,1番,35.102706,136.972615
相生山住宅南,あいおいやまじゅうたくみなみ,01006701,01006,701,2番,35.102548,136.973149
相川二丁目,あいかわにちょうめ,01007101,01007,101,2番,35.101314,136.974129
相川二丁目,あいかわにちょうめ,01007501,01007,501,1番,35.101709,136.974210
相川三丁目,あいかわさんちょうめ,01008301,01008,301,1番,35.098504,136.978008
相川三丁目,あいかわさんちょうめ,01008701,01008,701,2番,35.098513,136.978279
愛知県図書館,あいちけんとしょかん,01013301,01013,301,1番,35.177581,136.894679
愛知県図書館,あいちけんとしょかん,01013701,01013,701,2番,35.177345,136.894601
青峰通,あおみねどおり,01015301,01015,301,1番,35.111218,136.927410
青峰通,あおみねどおり,01015701,01015,701,2番,35.111125,136.925776
青柳町,あおやぎちょう,01020301,01020,301,1番,35.158478,136.938949
青柳町,あおやぎちょう,01020701,01020,701,2番,35.158396,136.938777
赤坂町,あかさかちょう,01025101,01025,101,2番,35.182035,136.962127
赤坂町,あかさかちょう,01025501,01025,501,1番,35.181248,136.962707
赤塚,あかつか,01030101,01030,101,4番,35.184251,136.924130
赤塚,あかつか,01030301,01030,301,1番,35.186233,136.925147
赤塚,あかつか,01030501,01030,501,3番,35.185285,136.925675
赤塚,あかつか,01030502,01030,502,2番,35.182940,136.923677
赤塚白壁,あかつかしらかべ,01032301,01032,301,1番,35.183734,136.923175
赤坪町,あかつぼちょう,01035101,01035,101,2番,35.095184,136.940960
赤坪町,あかつぼちょう,01035301,01035,301,1番,35.094412,136.941336
赤松,あかまつ,01040301,01040,301,1番,35.100537,137.016241
赤松,あかまつ,01040701,01040,701,2番,35.100307,137.015957
曙町一丁目,あけぼのちょういっちょうめ,01055301,01055,301,1番,35.155700,136.926606
曙町一丁目,あけぼのちょういっちょうめ,01055701,01055,701,2番,35.155572,136.926372
曙町二丁目,あけぼのちょうにちょうめ,01060300,01060,300,2番,35.155620,136.930467
曙町二丁目,あけぼのちょうにちょうめ,01060301,01060,301,1番,35.155440,136.931482
曙町二丁目,あけぼのちょうにちょうめ,01060701,01060,701,3番,35.155526,136.930562
旭桜ケ丘,あさひさくらがおか,01065101,01065,101,2番,35.216810,137.011565
旭桜ケ丘,あさひさくらがおか,01065501,01065,501,1番,35.215556,137.012098
旭労災病院,あさひろうさいびょういん,01070901,01070,901,1番,35.223577,137.016307
味鋺住宅,あじまじゅうたく,01080301,01080,301,1番,35.222389,136.916810
味鋺住宅,あじまじゅうたく,01080701,01080,701,2番,35.222277,136.916612
味鋺小学校北,あじましょうがっこうきた,01085101,01085,101,3番,35.223315,136.925506
味鋺小学校北,あじましょうがっこうきた,01085501,01085,501,2番,35.222347,136.926056
味鋺小学校北,あじましょうがっこうきた,01085701,01085,701,1番,35.222558,136.925357
東橋,あずまばし,01095101,01095,101,2番,35.091446,136.898335
東橋,あずまばし,01095501,01095,501,1番,35.091494,136.898587
愛宕西,あたごにし,01098101,01098,101,2番,35.058375,136.964516
愛宕西,あたごにし,01098501,01098,501,1番,35.058429,136.964666
熱田駅,あつたえき,01100101,01100,101,2番,35.129995,136.908954
熱田駅,あつたえき,01100501,01100,501,1番,35.130410,136.909076
熱田駅西,あつたえきにし,01101301,01101,301,1番,35.128960,136.908488
熱田駅西,あつたえきにし,01101701,01101,701,2番,35.128701,136.908289
熱田区役所,あつたくやくしょ,01103100,01103,100,降車,35.128172,136.909754
熱田区役所,あつたくやくしょ,01103101,01103,101,2番,35.128332,136.909665
熱田区役所,あつたくやくしょ,01103501,01103,501,1番,35.128645,136.909715
熱田区役所,あつたくやくしょ,01103502,01103,502,3番,35.128162,136.909980
熱田生涯学習センター,あつたしょうがいがくしゅうせんたー,01104101,01104,101,2番,35.125600,136.899703
熱田生涯学習センター,あつたしょうがいがくしゅうせんたー,01104501,01104,501,1番,35.126124,136.899542
熱田伝馬町,あつたてんまちょう,01105100,01105,100,7番,35.119527,136.909228
熱田伝馬町,あつたてんまちょう,01105101,01105,101,6番,35.121614,136.910849
熱田伝馬町,あつたてんまちょう,01105102,01105,102,5番,35.122062,136.911025
熱田伝馬町,あつたてんまちょう,01105501,01105,501,4番,35.120171,136.910125
熱田伝馬町,あつたてんまちょう,01105502,01105,502,3番,35.119859,136.909819
熱田伝馬町,あつたてんまちょう,01105801,01105,801,2番,35.120843,136.909772
熱田西町,あつたにしまち,01106101,01106,101,2番,35.128306,136.898579
熱田西町,あつたにしまち,01106501,01106,501,1番,35.128203,136.898708
熱田プール,あつたぷーる,01107101,01107,101,4番,35.133822,136.912593
熱田プール,あつたぷーる,01107301,01107,301,1番,35.134504,136.913298
熱田プール,あつたぷーる,01107501,01107,501,3番,35.133963,136.912685
熱田プール,あつたぷーる,01107701,01107,701,2番,35.134418,136.913544
穴ケ洞,あながほら,01110301,01110,301,1番,35.238563,137.022179
穴ケ洞,あながほら,01110701,01110,701,2番,35.238284,137.022541
油屋町一丁目,あぶらやちょういっちょうめ,01115101,01115,101,2番,35.106060,136.851154
油屋町一丁目,あぶらやちょういっちょうめ,01115501,01115,501,1番,35.106008,136.851304
油屋町二丁目,あぶらやちょうにちょうめ,01120101,01120,101,3番,35.104072,136.851013
油屋町二丁目,あぶらやちょうにちょうめ,01120501,01120,501,2番,35.103413,136.851122
油屋町二丁目,あぶらやちょうにちょうめ,01120701,01120,701,1番,35.103740,136.850646
雨池,あまいけ,01123101,01123,101,4番,35.243382,137.024137
雨池,あまいけ,01123301,01123,301,1番,35.245641,137.025019
雨池,あまいけ,01123501,01123,501,3番,35.244332,137.024331
雨池,あまいけ,01123701,01123,701,2番,35.245584,137.024677
天子田,あまこだ,01125301,01125,301,1番,35.199141,137.009752
天子田,あまこだ,01125701,01125,701,2番,35.198850,137.009027
天塚町,あまつかちょう,01130101,01130,101,2番,35.199956,136.895684
天塚町,あまつかちょう,01130501,01130,501,1番,35.200223,136.895758
阿由知通二丁目,あゆちどおりにちょうめ,01140101,01140,101,4番,35.154027,136.934279
阿由知通二丁目,あゆちどおりにちょうめ,01140301,01140,301,1番,35.154819,136.935201
阿由知通二丁目,あゆちどおりにちょうめ,01140501,01140,501,3番,35.153794,136.934481
阿由知通二丁目,あゆちどおりにちょうめ,01140701,01140,701,2番,35.154764,136.935062
荒池,あらいけ,01145401,01145,401,1番,35.115071,137.015094
荒池,あらいけ,01145801,01145,801,2番,35.114973,137.014974
荒池二丁目,あらいけにちょうめ,01146201,01146,201,1番,35.112970,137.016185
荒池二丁目,あらいけにちょうめ,01146601,01146,601,2番,35.112927,137.016288
荒池緑地,あらいけりょくち,01148301,01148,301,1番,35.110894,137.013565
荒池緑地,あらいけりょくち,01148701,01148,701,2番,35.110926,137.013974
新木町,あらきちょう,01155101,01155,101,2番,35.217133,136.863392
新木町,あらきちょう,01155501,01155,501,1番,35.216999,136.863587
荒子一丁目,あらこいっちょうめ,01160301,01160,301,1番,35.140540,136.859474
荒子一丁目,あらこいっちょうめ,01160701,01160,701,2番,35.140386,136.859502
荒子駅,あらこえき,01162301,01162,301,1番,35.140596,136.861244
荒子駅,あらこえき,01162701,01162,701,2番,35.140372,136.860967
荒子川公園北,あらこがわこうえんきた,01163301,01163,301,1番,35.105368,136.858951
荒子川公園北,あらこがわこうえんきた,01163701,01163,701,2番,35.105325,136.859142
荒子川公園駅,あらこがわこうえんえき,01164301,01164,301,1番,35.106114,136.861519
荒子川公園駅,あらこがわこうえんえき,01164701,01164,701,2番,35.106001,136.861469
荒子観音,あらこかんのん,01165301,01165,301,1番,35.136944,136.860403
荒子観音,あらこかんのん,01165701,01165,701,2番,35.136869,136.860530
荒子町,あらこちょう,01170301,01170,301,1番,35.137190,136.856668
荒子町,あらこちょう,01170701,01170,701,2番,35.137104,136.856520
荒田,あらた,01173301,01173,301,,35.241050,137.014094
荒田,あらた,01173701,01173,701,,35.240758,137.013969
新瑞橋,あらたまばし,01175000,01175,000,降車,35.117248,136.938182
新瑞橋,あらたまばし,01175001,01175,001,6番,35.117512,136.937997
新瑞橋,あらたまばし,01175002,01175,002,5番,35.117563,136.938426
新瑞橋,あらたまばし,01175003,01175,003,4番,35.117560,136.938636
新瑞橋,あらたまばし,01175101,01175,101,10番,35.118513,136.936357
新瑞橋,あらたまばし,01175501,01175,501,9番,35.117160,136.936813
新瑞橋,あらたまばし,01175701,01175,701,3番,35.117637,136.938510
新瑞橋,あらたまばし,01175702,01175,702,2番,35.117638,136.938332
新瑞橋,あらたまばし,01175703,01175,703,1番,35.117639,136.938139
荒中町,あらなかちょう,01180101,01180,101,4番,35.133360,136.853824
荒中町,あらなかちょう,01180301,01180,301,1番,35.131886,136.854533
荒中町,あらなかちょう,01180501,01180,501,3番,35.132518,136.854155
荒中町,あらなかちょう,01180701,01180,701,2番,35.131921,136.853383
荒畑,あらはた,01185301,01185,301,1番,35.149736,136.927118
荒畑,あらはた,01185701,01185,701,2番,35.149494,136.926050
荒輪井,あらわい,01190301,01190,301,2番,35.162925,136.840722
荒輪井,あらわい,01190302,01190,302,1番,35.162927,136.840843
荒輪井,あらわい,01190701,01190,701,3番,35.162845,136.840029
