系統ｺｰﾄﾞ,路線ｺｰﾄﾞ,方向ｺｰﾄﾞ,並順,バス停標柱ｺｰﾄﾞ
0001,00,1,1,210105E3
0001,00,1,2,210105E4
0001,00,1,3,711455E1
0001,00,1,4,61060501
0001,00,1,5,33030503
0001,00,1,6,35035501
0001,00,1,7,04035501
0001,00,1,8,31095501
0001,00,1,9,31095502
0001,00,1,10,11280501
0001,00,1,11,55095501
0001,00,1,12,03040501
0001,00,1,13,64037501
0001,00,1,14,32030501
0001,00,1,15,75035501
0001,00,1,16,32035502
0001,00,1,17,32040501
0001,00,1,18,62110502
0001,00,1,19,65010501
0001,00,1,20,55060701
0001,00,2,1,55060301
0001,00,2,2,65010101
0001,00,2,3,62110101
0001,00,2,4,32040101
0001,00,2,5,32035101
0001,00,2,6,75035101
0001,00,2,7,32030101
0001,00,2,8,64037102
0001,00,2,9,03040102
0001,00,2,10,55095101
0001,00,2,11,11280101
0001,00,2,12,31095101
0001,00,2,13,31095102
0001,00,2,14,04035101
0001,00,2,15,35035101
0001,00,2,16,33030101
0001,00,2,17,61060701
0001,00,2,18,711451E1
0001,00,2,19,210101E1
0001,00,2,20,21010021
0001,01,1,1,210105E3
0001,01,1,2,210105E4
0001,01,1,3,711455E1
0001,01,1,4,61060501
0001,01,1,5,33030503
0001,01,1,6,35035501
0001,01,1,7,04035501
0001,01,1,8,31095501
0001,01,1,9,31095502
0001,01,1,10,11280501
0001,01,1,11,55095501
0001,01,1,12,03040501
0001,01,1,13,64037501
0001,01,1,14,32030501
0001,01,1,15,75035501
0001,01,1,16,32035502
0001,01,1,17,32040501
0001,01,1,18,62110502
0001,01,1,19,65010501
0001,01,1,20,55060701
0001,01,1,21,55062501
0001,01,1,22,11165701
0001,01,1,23,41250501
0001,01,2,1,41250301
0001,01,2,2,11165301
0001,01,2,3,55062101
0001,01,2,4,55060301
0001,01,2,5,65010101
0001,01,2,6,62110101
0001,01,2,7,32040101
0001,01,2,8,32035101
0001,01,2,9,75035101
0001,01,2,10,32030101
0001,01,2,11,64037102
0001,01,2,12,03040102
0001,01,2,13,55095101
0001,01,2,14,11280101
0001,01,2,15,31095101
0001,01,2,16,31095102
0001,01,2,17,04035101
